Geneid	HER21	HER22	HER23	NonTNBC1	NonTNBC2	NonTNBC3	Normal1	Normal2	Normal3	TNBC1	TNBC2	TNBC3
ENSG00000231510	0	0	0	0	3	2	0	0	0	3	1	0
ENSG00000284616	0	0	0	0	1	1	0	0	0	0	0	3
ENSG00000284692	1	3	0	4	16	11	1	1	0	8	3	12
ENSG00000284666	0	0	0	2	3	4	0	0	0	3	2	1
ENSG00000260972	0	0	0	0	5	3	0	0	0	6	2	3
ENSG00000283356	0	0	1	0	1	0	0	0	0	3	2	2
ENSG00000236948	0	0	0	1	5	1	1	0	0	8	4	1
ENSG00000264341	0	0	0	1	0	0	0	0	0	4	0	2
ENSG00000264101	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000131697	162	350	181	263	342	208	169	531	405	185	155	106
ENSG00000069424	416	203	357	539	209	256	82	239	197	332	258	192
ENSG00000116254	4	7	8	26	50	32	6	15	6	66	61	22
ENSG00000285629	0	1	1	0	2	0	0	0	0	2	0	0
ENSG00000116251	797	1524	996	2705	2828	2383	5845	9188	8598	854	1479	1600
ENSG00000226944	1	0	2	5	4	4	7	4	3	3	5	1
ENSG00000158286	77	120	76	164	149	98	92	344	222	86	74	60
ENSG00000116237	703	1045	1178	2411	2100	1475	373	1020	918	938	1324	1580
ENSG00000225077	4	4	4	6	8	10	2	1	2	13	8	13
ENSG00000173673	0	0	0	3	4	5	1	0	0	5	2	0
ENSG00000158292	76	96	45	252	122	114	116	437	589	28	91	97
ENSG00000097021	92	222	214	593	328	138	197	329	427	133	80	148
ENSG00000271746	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	13	12	8	54	16	31	28	22	28	24	16	42
ENSG00000187017	26	25	44	446	109	115	470	268	331	80	36	28
ENSG00000265392	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000231868	1	0	2	28	4	4	8	2	1	1	1	1
ENSG00000215788	68	50	43	73	73	39	134	254	194	91	64	44
ENSG00000171680	73	139	81	179	126	100	190	655	582	146	143	108
ENSG00000162408	343	798	377	1047	747	549	314	528	666	499	474	376
ENSG00000253022	1	2	0	2	2	0	0	0	0	0	0	0
ENSG00000229519	8	9	4	8	13	8	1	1	1	8	13	12
ENSG00000173662	1	2	2	11	8	3	36	15	19	6	8	11
ENSG00000204859	83	114	74	338	293	200	245	353	396	142	132	92
ENSG00000162413	198	876	282	555	603	369	3487	8137	15382	552	476	675
ENSG00000116273	195	371	194	497	450	319	1041	3008	5154	325	248	303
ENSG00000041988	35	15	37	120	94	85	108	271	232	48	58	34
ENSG00000007923	179	381	244	833	602	432	224	527	435	286	344	246
ENSG00000228750	0	0	0	6	12	2	0	0	1	15	6	2
ENSG00000284744	0	0	0	3	6	3	0	0	0	7	2	1
ENSG00000237436	3	1	1	7	13	4	2	1	1	6	11	6
ENSG00000171735	212	204	175	669	715	363	814	2246	4187	308	402	467
ENSG00000227950	1	8	3	2	4	2	0	0	0	2	3	1
ENSG00000237365	0	0	0	0	1	2	0	0	0	0	1	0
ENSG00000207056	1	0	0	1	4	3	0	0	0	1	2	1
