	PVALUE	QVALUE	PROV_PVALUE	SIFT_PVALUE
ENSG00000162688	0.9984767436993711	1.0	0.991	0.9539
ENSG00000162695	0.6769375109075858	1.0	0.7033	0.4455
ENSG00000162702	0.4944050784476174	1.0	0.2693	0.6809
ENSG00000162706	0.04635665316952542	0.5775737478235586	0.0633	0.1255
ENSG00000162711	0.7327598225379537	1.0	0.5527	0.6602
ENSG00000162714	0.29830742520416553	0.9655302919068067	0.188	0.4603
ENSG00000162722	0.08918826666167057	0.697950882359556	0.1412	0.1255
ENSG00000162727	0.15468144883402557	0.8065045322028634	0.0889	0.4016
ENSG00000162733	0.5607718782583214	1.0	0.3129	0.7194
ENSG00000162746	0.8143849951470268	1.0	0.7623	0.5987
ENSG00000162769	0.9992413035210354	1.0	0.9613	1.0
ENSG00000162775	0.46481379420848934	1.0	0.396	0.4202
ENSG00000162779	0.4581430711581016	1.0	0.4362	0.373
ENSG00000162782	0.5832998751325318	1.0	0.5242	0.4589
ENSG00000162804	0.9999781719252483	1.0	0.9934	1.0
ENSG00000162813	0.2666584928706319	0.9298160189402581	0.3585	0.2064
ENSG00000162819	0.34318046899348187	1.0	0.3004	0.3518
ENSG00000162843	0.9819622555214175	1.0	0.9934	0.8216
ENSG00000162849	0.822957029646066	1.0	0.5192	0.9004
ENSG00000162852	0.7691253748226076	1.0	0.5876	0.6856
ENSG00000162878	0.25665641878253065	0.9215691228607135	0.3149	0.2229
ENSG00000162889	0.7984939263855682	1.0	0.5046	0.8654
ENSG00000162896	0.9760316604147377	1.0	0.7892	1.0
ENSG00000162909	0.9992413035210354	1.0	0.9613	1.0
ENSG00000162913	0.3309653920632152	0.9964538444312382	0.224	0.4478
ENSG00000162923	0.6712474738841886	1.0	0.3649	0.8453
ENSG00000162931	0.06797019430998041	0.6400265608604915	0.0616	0.2055
ENSG00000162944	0.9620910681542689	1.0	0.9934	0.7425
ENSG00000162951	0.43525113558360207	1.0	0.1888	0.7964
